PadL,Model,Npages,Acc_mean,Prec_mean,Rec_mean,F1_mean
25,DF,95,0.766256,0.774828,0.766245,0.752811
25,RF,95,0.781147,0.789978,0.781362,0.773379
25,TikTok,95,0.789029,0.804754,0.789169,0.783878
25,VarCNN,95,0.783486,0.798777,0.783675,0.780242
50,DF,95,0.764048,0.778678,0.764024,0.750423
50,RF,95,0.780589,0.795219,0.780796,0.775785
50,TikTok,95,0.786868,0.799045,0.787022,0.781668
50,VarCNN,95,0.783654,0.799884,0.783873,0.780176
75,DF,95,0.760904,0.781001,0.760906,0.745063
75,RF,95,0.784649,0.796865,0.784884,0.779584
75,TikTok,95,0.788769,0.802508,0.788962,0.785727
75,VarCNN,95,0.780725,0.796462,0.780917,0.777476
100,DF,95,0.757738,0.762466,0.757708,0.738777
100,RF,95,0.779972,0.794171,0.780186,0.777164
100,TikTok,95,0.778814,0.789720,0.778971,0.773924
100,VarCNN,95,0.780051,0.796011,0.780281,0.776688
125,DF,95,0.750146,0.752374,0.750148,0.731149
125,RF,95,0.775029,0.790034,0.775213,0.770897
125,TikTok,95,0.782101,0.798287,0.782309,0.778422
125,VarCNN,95,0.777788,0.797053,0.778032,0.773703
150,DF,95,0.749684,0.756123,0.749728,0.732765
150,RF,95,0.772068,0.792715,0.772303,0.765649
150,TikTok,95,0.773965,0.788397,0.774143,0.767925
150,VarCNN,95,0.772178,0.790193,0.772398,0.767973
175,DF,95,0.748231,0.757592,0.748355,0.733214
175,RF,95,0.762885,0.774067,0.763098,0.755556
175,TikTok,95,0.768895,0.780481,0.769079,0.761518
175,VarCNN,95,0.770077,0.788766,0.770369,0.765845
200,DF,95,0.747351,0.764134,0.747363,0.733260
200,RF,95,0.759661,0.775986,0.759924,0.752621
200,TikTok,95,0.767128,0.784512,0.767374,0.762514
200,VarCNN,95,0.766437,0.786133,0.766694,0.762332
300,DF,95,0.747101,0.761054,0.747228,0.735466
300,RF,95,0.748825,0.766158,0.749114,0.742192
300,TikTok,95,0.749317,0.766577,0.749488,0.741140
300,VarCNN,95,0.750514,0.773048,0.750844,0.745003
400,DF,95,0.739194,0.755141,0.739391,0.729762
400,RF,95,0.734305,0.755699,0.734614,0.728881
400,TikTok,95,0.739789,0.760138,0.739992,0.730349
400,VarCNN,95,0.732513,0.755711,0.732812,0.726598
500,DF,95,0.726898,0.744297,0.727027,0.715881
500,RF,95,0.733722,0.757052,0.734028,0.727306
500,TikTok,95,0.725078,0.748466,0.725245,0.714227
500,VarCNN,95,0.725297,0.753055,0.725631,0.718015
600,DF,95,0.720878,0.747696,0.721180,0.710831
600,RF,95,0.720465,0.745254,0.720758,0.713407
600,TikTok,95,0.711866,0.737696,0.712114,0.699182
600,VarCNN,95,0.711136,0.737984,0.711465,0.703760
700,DF,95,0.707024,0.729913,0.707242,0.694082
700,RF,95,0.699671,0.726246,0.699987,0.691133
700,TikTok,95,0.700404,0.727080,0.700469,0.684003
700,VarCNN,95,0.704142,0.734220,0.704443,0.694919
800,DF,95,0.700051,0.738248,0.700299,0.687925
800,RF,95,0.686660,0.716686,0.686940,0.677027
800,TikTok,95,0.691243,0.713929,0.691424,0.674017
800,VarCNN,95,0.693022,0.725216,0.693325,0.683144
900,DF,95,0.682848,0.726065,0.683061,0.667494
900,RF,95,0.669918,0.704581,0.670204,0.656531
900,TikTok,95,0.674239,0.704788,0.674348,0.655565
900,VarCNN,95,0.675683,0.713681,0.675967,0.662141
1000,DF,95,0.671593,0.717721,0.671780,0.653639
1000,RF,95,0.661775,0.701609,0.662037,0.646259
1000,TikTok,95,0.668634,0.713707,0.668764,0.649719
1000,VarCNN,95,0.663080,0.705041,0.663295,0.646913
1100,DF,95,0.667234,0.720781,0.667372,0.644023
1100,RF,95,0.659757,0.707955,0.660018,0.641124
1100,TikTok,95,0.663956,0.713554,0.664078,0.638132
1100,VarCNN,95,0.657603,0.706351,0.657860,0.638515
1200,DF,95,0.661364,0.722193,0.661499,0.637026
1200,RF,95,0.653929,0.709901,0.654182,0.630983
1200,TikTok,95,0.661366,0.722235,0.661519,0.636428
1200,VarCNN,95,0.653712,0.707614,0.653920,0.631963
1300,DF,95,0.647331,0.717705,0.647453,0.616895
1300,RF,95,0.636508,0.693056,0.636706,0.610480
1300,TikTok,95,0.645921,0.714769,0.645996,0.615205
1300,VarCNN,95,0.642194,0.701519,0.642357,0.616137
1400,DF,95,0.640938,0.718965,0.641056,0.605801
1400,RF,95,0.635534,0.703249,0.635686,0.605477
1400,TikTok,95,0.641384,0.714766,0.641424,0.605863
1400,VarCNN,95,0.640649,0.710797,0.640767,0.609425
1500,DF,95,0.637384,0.723037,0.637487,0.598867
1500,RF,95,0.629459,0.703586,0.629606,0.595195
1500,TikTok,95,0.636076,0.720309,0.636162,0.597872
1500,VarCNN,95,0.632701,0.709948,0.632817,0.596985
